Code,Facility,County,Sub-county,Partner
13820,Mokomoni Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
14044,Riakworo Dispensary,NYAMIRA,Masaba North,USAID NURU YA MTOTO
14044,Riakworo Dispensary,NYAMIRA,Masaba North,USAID NURU YA MTOTO
14044,Riakworo Dispensary,NYAMIRA,Masaba North,USAID NURU YA MTOTO
14044,Riakworo Dispensary,NYAMIRA,Masaba North,USAID NURU YA MTOTO
13820,Mokomoni Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13540,Ekerenyo Sub-District Hospital,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13935,Nyansangio Dispensary,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13916,Nyamusi Sub-District Hospital,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13916,Nyamusi Sub-District Hospital,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13916,Nyamusi Sub-District Hospital,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13475,Amatierio Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13475,Amatierio Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13475,Amatierio Dispensary,NYAMIRA,Borabu,USAID NURU YA MTOTO
13935,Nyansangio Dispensary,NYAMIRA,Nyamira,USAID NURU YA MTOTO
16990,Nyansabakwa Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
16990,Nyansabakwa Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
16990,Nyansabakwa Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
16988,Nyangweta Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
16988,Nyangweta Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
16988,Nyangweta Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13916,Nyamusi Sub-District Hospital,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13514,Bosiango Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13514,Bosiango Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13514,Bosiango Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13514,Bosiango Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13544,Endiba Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13820,Mokomoni Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13544,Endiba Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13544,Endiba Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13791,Matongo Health Centre,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13791,Matongo Health Centre,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13791,Matongo Health Centre,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13791,Matongo Health Centre,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13894,Nyamaiya Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13894,Nyamaiya Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13894,Nyamaiya Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13894,Nyamaiya Health Centre,NYAMIRA,Nyamira,USAID NURU YA MTOTO
13836,Mwongori Dispensary,NYAMIRA,Borabu,USAID NURU YA MTOTO
13836,Mwongori Dispensary,NYAMIRA,Borabu,USAID NURU YA MTOTO
13836,Mwongori Dispensary,NYAMIRA,Borabu,USAID NURU YA MTOTO
13820,Mokomoni Health Centre,NYAMIRA,Borabu,USAID NURU YA MTOTO
13617,Ikonge Dispensary,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13617,Ikonge Dispensary,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13617,Ikonge Dispensary,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13559,Gesima Health Centre,NYAMIRA,Masaba North,USAID NURU YA MTOTO
13559,Gesima Health Centre,NYAMIRA,Masaba North,USAID NURU YA MTOTO
13559,Gesima Health Centre,NYAMIRA,Masaba North,USAID NURU YA MTOTO
13559,Gesima Health Centre,NYAMIRA,Masaba North,USAID NURU YA MTOTO
13617,Ikonge Dispensary,NYAMIRA,Nyamira North,USAID NURU YA MTOTO
13924,Nyangena Sub County Hospital,NYAMIRA,Manga,USAID NURU YA MTOTO
13924,Nyangena Sub County Hospital,NYAMIRA,Manga,USAID NURU YA MTOTO
